Plant Name,Growth,Soil,Sunlight,Watering,Fertilizing Type,ImageURL,Scientific Name,Genus,Family,Information,Watering tips,Soil Tips,Pruning Tips
Wandering Jew,fast,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxXYW5kZXJpbmclMjBKZXclMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY1MDF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Hoya (Wax Plant),slow,sandy,indirect sunlight,Water when topsoil is dry,Balanced,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxIb3lhJTIwJTI4V2F4JTIwUGxhbnQlMjklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY1MDN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
African Violet,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxBZnJpY2FuJTIwVmlvbGV0JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2NTA1fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Begonia,moderate,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1738522110003-6c1a46f67f5d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCZWdvbmlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTc2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Impatiens,fast,well-drained,indirect sunlight,Keep soil moist,Balanced,https://images.unsplash.com/photo-1708412753280-95791e2ec309?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxJbXBhdGllbnMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MDF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Petunia,fast,sandy,full sunlight,Regular watering,Organic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQZXR1bmlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTkzfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Marigold,moderate,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1656427975461-b40d292a58f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNYXJpZ29sZCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU3MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lobelia,moderate,sandy,full sunlight,Keep soil moist,Balanced,https://images.unsplash.com/photo-1654661573494-9b7fc89c3a44?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxMb2JlbGlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODA2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Snapdragon,moderate,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTbmFwZHJhZ29uJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTk3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Zinnia,fast,sandy,full sunlight,Regular Watering,Low-nitrogen,https://images.unsplash.com/photo-1516205651411-aef33a44f7c2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxaaW5uaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NzJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Nasturtium,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1621371047525-f99f36b60b9d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxOYXN0dXJ0aXVtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTkxfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sunflower,fast,sandy,full sunlight,Regular Watering,Balanced,https://images.unsplash.com/photo-1594767876177-96c189b0e404?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTdW5mbG93ZXIlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1ODJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dahlia,moderate,sandy,full sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1633975530628-f86fd17a9bc0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEYWhsaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MTN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Begonia (Outdoor),moderate,well-drained,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCZWdvbmlhJTIwJTI4T3V0ZG9vciUyOSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjgxNXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Calendula,fast,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1492693429561-1c283eb1b2e8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDYWxlbmR1bGElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MTd8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Coneflower,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1599936065364-9aadbe472fd5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb25lZmxvd2VyJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODE5fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Petunia (Trailing),fast,sandy,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQZXR1bmlhJTIwJTI4VHJhaWxpbmclMjklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MjF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Pansy,moderate,well-drained,full sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1626561525678-694828d1c537?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQYW5zeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU5OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Geranium,moderate,well-drained,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1614899767482-dca7c5cedf70?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxHZXJhbml1bSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU2OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Fuchsia,moderate,well-drained,partial sunlight,Regular Watering,Balanced,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxGdWNoc2lhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODI2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sweet Pea,fast,sandy,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1533910534207-90f31029a78e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTd2VldCUyMFBlYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjYwMXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Begonia (Indoor),moderate,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCZWdvbmlhJTIwJTI4SW5kb29yJTI5JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODI5fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lobelia,fast,sandy,full sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1654661573494-9b7fc89c3a44?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxMb2JlbGlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODA2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Chrysanthemum,moderate,well-drained,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1480511361210-b1b966c8d614?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaHJ5c2FudGhlbXVtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTc4fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Clematis,slow,sandy,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDbGVtYXRpcyUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjgzNHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dianthus,moderate,sandy,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1601629752392-04bb3f04f2ea?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEaWFudGh1cyUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjgzNnww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bluebell,slow,well-drained,full sunlight,Regular Watering,Balanced,https://images.unsplash.com/photo-1525249181835-95a4c9168268?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCbHVlYmVsbCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjgzOHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Ageratum,fast,well-drained,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1701441006531-7cb82256c3f3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxBZ2VyYXR1bSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg0MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Calla Lily,moderate,sandy,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1580595999172-787970a962d8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDYWxsYSUyMExpbHklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4Njl8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Cineraria,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1602269487540-98c176d95b21?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaW5lcmFyaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4NzF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Heliotrope,moderate,well-drained,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1676628035607-55b81c5bd997?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxIZWxpb3Ryb3BlJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODczfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Tuberose,slow,sandy,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxUdWJlcm9zZSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg3NXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Gazania,fast,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1590209554158-b586d137f923?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxHYXphbmlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODc3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Portulaca,fast,sandy,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1710695160754-a3f3daf326dd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQb3J0dWxhY2ElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4Nzl8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Coleus,moderate,well-drained,indirect sunlight,Regular Watering,Low-nitrogen,https://images.unsplash.com/photo-1641100710199-7f841ee78d44?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb2xldXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4ODF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dusty Miller,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1682646789231-9387053907a3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEdXN0eSUyME1pbGxlciUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg4M3ww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dianella,slow,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEaWFuZWxsYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg4NHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lantana,fast,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1661697216078-a09e4f76d036?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxMYW50YW5hJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODg2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Salvia,moderate,sandy,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1521206698660-5e077ff6f9c8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTYWx2aWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4ODh8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Phlox,moderate,well-drained,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1717641166153-05e25014563d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQaGxveCUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg5MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Poppy,fast,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1683037204899-d11a9f23af28?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQb3BweSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg5Mnww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Amaryllis,moderate,sandy,full sunlight,Keep soil moist,Low-nitrogen,https://images.unsplash.com/photo-1670680213573-27a8e87c2620?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxBbWFyeWxsaXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4OTR8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Morning Glory,fast,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1474366521946-c3d4b507abf2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNb3JuaW5nJTIwR2xvcnklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI2MDN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Yucca,slow,sandy,full sunlight,Water when topsoil is dry,Organic,https://images.unsplash.com/photo-1629516676153-26a76b83701f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxZdWNjYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg5OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Acalypha,moderate,sandy,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxBY2FseXBoYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg5OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Viola,moderate,well-drained,full sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1518963534257-f901d4d46f59?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxWaW9sYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjkwMXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Jasmine (Outdoor),moderate,well-drained,full sunlight,Regular Watering,Balanced,https://images.unsplash.com/photo-1664516623880-f5e9cacc1079?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxKYXNtaW5lJTIwJTI4T3V0ZG9vciUyOSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjkwM3ww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sweet William,fast,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1714691160207-30893ff07059?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTd2VldCUyMFdpbGxpYW0lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MDV8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Foxglove,slow,sandy,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1684047985798-0ce815993ae1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxGb3hnbG92ZSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjkwN3ww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Snapdragon,moderate,well-drained,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTbmFwZHJhZ29uJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTk3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Hollyhock,moderate,sandy,full sunlight,Regular Watering,Organic,https://images.unsplash.com/photo-1726601164435-e1af462af841?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxIb2xseWhvY2slMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MTF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Campanula,moderate,sandy,partial sunlight,Keep soil moist,Balanced,https://images.unsplash.com/photo-1717279727010-f89cdfbc4401?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDYW1wYW51bGElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MTN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Cosmos,fast,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1668774794183-e99ef2d441cd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb3Ntb3MlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NjZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Coreopsis,fast,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1598545849316-e778adb5f9f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb3Jlb3BzaXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Black-Eyed Susan,moderate,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1507125830798-7d27f4e1dda8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCbGFjay1FeWVkJTIwU3VzYW4lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MTh8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
BachelorÃ¢ÂÂs Button,fast,sandy,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCYWNoZWxvciVDMyVBMiVDMiU4MCVDMiU5OXMlMjBCdXR0b24lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MjB8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Balloon Flower,moderate,sandy,partial sunlight,Regular Watering,Balanced,https://images.unsplash.com/photo-1626245224989-a2eff379eb74?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCYWxsb29uJTIwRmxvd2VyJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyOTIyfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Columbine,moderate,sandy,partial sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1621371047525-f99f36b60b9d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb2x1bWJpbmUlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MjR8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bleeding Heart,slow,well-drained,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1588974121026-5ece76393ff5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCbGVlZGluZyUyMEhlYXJ0JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyOTI2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sea Holly,slow,sandy,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1541904563-3215961608ad?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTZWElMjBIb2xseSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjkyOHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bellflower,moderate,sandy,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCZWxsZmxvd2VyJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyOTMwfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Daylily,fast,sandy,full sunlight,Regular Watering,Low-nitrogen,https://images.unsplash.com/photo-1689612400632-4105960c1428?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEYXlsaWx5JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyOTMyfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
